red stones,blue stones,red win rate,blue win rate
100,100,65.02%,34.98%
100,101,63.77%,36.23%
100,102,62.44%,37.56%
100,103,62.33%,37.67%
100,104,60.07%,39.93%
100,105,59.49%,40.51%
100,106,58.44%,41.57%
100,107,56.87%,43.13%
100,108,55.79%,44.21%
100,109,54.98%,45.02%
100,110,53.35%,46.64%
100,111,52.31%,47.69%
100,112,51.45%,48.55%
100,113,50.75%,49.24%
100,114,49.23%,50.78%
100,115,48.23%,51.77%
200,200,58.07%,41.93%
200,201,57.36%,42.64%
200,202,56.85%,43.15%
200,203,55.71%,44.30%
200,204,55.59%,44.41%
200,205,54.60%,45.40%
200,206,53.61%,46.39%
200,207,53.76%,46.24%
200,208,53.41%,46.59%
200,209,52.33%,47.67%
200,210,52.49%,47.51%
200,211,51.48%,48.52%
200,212,50.67%,49.34%
200,213,50.22%,49.78%
200,214,49.68%,50.32%
200,215,49.28%,50.72%
500,500,52.93%,47.07%
500,501,53.55%,46.45%
500,502,52.95%,47.04%
500,503,52.38%,47.62%
500,504,52.62%,47.38%
500,505,52.13%,47.87%
500,506,51.65%,48.34%
500,507,51.75%,48.24%
500,508,51.45%,48.55%
500,509,50.47%,49.54%
500,510,51.30%,48.70%
500,511,50.13%,49.86%
500,512,50.38%,49.62%
500,513,49.85%,50.14%
500,514,49.95%,50.04%
500,515,49.22%,50.78%
1000,1000,51.93%,48.07%
1000,1001,51.33%,48.67%
1000,1002,51.03%,48.97%
1000,1003,50.97%,49.03%
1000,1004,51.44%,48.56%
1000,1005,51.09%,48.91%
1000,1006,51.31%,48.69%
1000,1007,50.44%,49.55%
1000,1008,50.52%,49.48%
1000,1009,51.02%,48.98%
1000,1010,49.99%,50.01%
1000,1011,50.68%,49.32%
1000,1012,50.30%,49.70%
1000,1013,50.06%,49.94%
1000,1014,50.54%,49.46%
1000,1015,50.38%,49.62%
