game,red_total_stones,blue_total_stones,red_score,blue_score,tied_rounds_won_by_red,winner,red_round_1,red_round_2,red_round_3,red_round_4,red_round_5,red_round_6,red_round_7,red_round_8,red_round_9,red_round_10,red_round_11,red_round_12,red_round_13,red_round_14,red_round_15,blue_round_1,blue_round_2,blue_round_3,blue_round_4,blue_round_5,blue_round_6,blue_round_7,blue_round_8,blue_round_9,blue_round_10,blue_round_11,blue_round_12,blue_round_13,blue_round_14,blue_round_15
40,100,107,7,8,1,blue,7,21,10,1,9,6,2,1,9,6,3,4,0,20,1,10,2,8,2,4,1,3,3,37,8,2,4,10,3,10
41,100,107,10,5,0,red,0,4,5,11,9,7,0,1,15,5,3,16,12,2,10,9,16,4,4,21,4,17,5,4,3,2,11,1,1,5
42,100,107,7,8,0,blue,7,2,5,4,1,2,7,6,5,30,3,4,6,13,5,10,5,19,2,2,13,5,0,3,4,1,5,19,1,18
43,100,107,8,7,2,red,2,1,2,6,18,3,9,14,18,2,1,1,9,8,6,5,17,12,1,21,4,6,7,10,3,10,1,0,8,2
44,100,107,6,9,0,blue,11,2,7,3,18,1,2,8,3,5,2,12,7,4,15,4,7,25,4,2,9,1,6,5,7,14,4,9,7,3
45,100,107,7,8,2,blue,0,6,8,10,8,9,10,1,7,6,1,3,15,14,2,6,10,10,8,2,10,10,0,7,7,9,1,16,1,10
46,100,107,9,6,2,red,1,2,12,5,10,9,13,10,8,0,7,3,9,1,10,11,3,1,4,9,9,22,4,2,17,8,1,15,1,0
47,100,107,8,7,0,red,17,1,6,7,3,15,4,5,2,1,4,5,6,19,5,0,8,26,1,1,2,5,10,11,28,6,2,1,4,2
48,100,107,7,8,0,blue,19,23,2,4,9,4,1,6,1,1,4,1,9,13,3,5,19,5,1,10,1,8,3,6,2,13,16,6,4,8
49,100,107,7,8,1,blue,4,8,4,3,23,6,1,7,7,1,11,8,1,6,10,1,8,3,6,1,14,10,9,6,2,7,16,9,8,7
50,100,107,7,8,1,blue,10,30,2,6,2,12,6,11,1,3,3,2,3,6,3,4,4,3,1,17,1,6,19,14,10,1,7,8,2,10
51,100,107,7,8,0,blue,3,2,2,5,9,16,1,3,4,2,9,25,7,2,10,10,8,3,1,1,8,17,4,3,12,5,6,9,14,6
52,100,107,5,10,0,blue,1,17,11,1,2,0,26,1,4,11,5,2,4,2,13,9,11,16,2,6,10,2,3,10,6,6,5,2,14,5
53,100,107,8,7,0,red,13,12,5,2,5,1,7,3,1,9,3,12,0,16,11,1,1,4,29,2,13,22,5,7,3,8,0,4,7,1
54,100,107,8,7,2,red,24,4,1,3,4,9,18,14,2,2,5,6,4,3,1,4,1,7,5,22,17,24,0,2,2,3,11,2,7,0
55,100,107,7,8,1,blue,11,5,0,6,3,12,4,5,7,16,5,19,2,5,0,21,11,2,3,6,3,15,3,3,28,7,1,2,1,1
56,100,107,8,7,1,red,9,2,3,4,10,18,4,0,9,12,15,0,6,4,4,1,14,18,0,14,1,10,10,6,7,5,0,9,10,2
57,100,107,7,8,1,blue,3,5,5,15,1,12,6,13,11,7,1,2,1,4,14,4,1,7,2,0,3,21,0,14,7,4,20,6,16,2
58,100,107,8,7,1,red,17,13,17,2,4,5,10,1,6,10,4,4,2,0,5,4,8,7,8,8,12,5,1,3,6,16,5,5,18,1
59,100,107,8,7,1,red,7,5,3,9,6,5,10,1,1,3,6,13,13,5,13,2,4,5,5,11,4,11,16,18,5,1,2,16,5,2
60,100,107,7,8,1,blue,8,10,8,0,1,2,13,28,2,3,22,2,1,0,0,0,1,2,11,2,0,2,4,10,3,34,7,8,18,5
61,100,107,10,5,1,red,2,4,8,2,6,8,3,8,4,8,14,8,19,6,0,5,3,5,15,18,11,0,3,4,1,10,3,17,4,8
62,100,107,7,8,0,blue,3,4,6,25,13,3,4,3,5,16,2,3,6,7,0,8,1,1,6,2,17,6,15,6,12,3,2,2,10,16
63,100,107,9,6,1,red,12,2,23,4,7,7,3,6,3,3,6,1,12,2,9,27,2,14,8,1,3,2,1,12,13,0,9,6,7,2
64,100,107,9,6,2,red,8,3,1,7,13,8,0,7,6,1,6,25,2,6,7,7,3,1,1,4,31,8,16,0,4,19,1,8,3,1
65,100,107,7,8,0,blue,6,9,21,3,3,3,7,2,17,5,9,0,7,4,4,13,0,1,5,8,1,16,1,2,14,3,7,2,11,23
66,100,107,10,5,3,red,3,25,7,19,17,0,2,4,1,1,3,4,11,1,2,0,3,20,0,11,0,5,4,1,40,4,1,8,9,1
67,100,107,6,9,1,blue,3,5,3,7,0,9,21,3,16,5,9,3,10,1,5,6,4,9,1,19,2,2,4,6,5,14,4,16,7,8
68,100,107,7,8,1,blue,6,4,10,14,19,1,2,0,6,15,2,5,2,10,4,14,0,13,7,2,8,11,7,3,2,8,11,0,10,11
69,100,107,8,7,1,red,0,5,2,10,9,1,1,10,1,11,26,9,12,1,2,0,15,1,6,7,3,5,4,7,7,8,5,22,5,12
70,100,107,9,6,2,red,2,3,4,0,31,5,5,5,3,6,7,2,12,9,6,2,12,7,16,4,10,0,2,1,19,6,2,9,12,5
71,100,107,8,7,0,red,10,1,2,18,8,7,4,1,4,0,3,9,8,13,12,9,5,7,3,4,14,1,22,0,2,14,14,4,0,8
72,100,107,7,8,0,blue,13,5,0,1,3,3,5,2,12,0,33,5,11,4,3,9,13,35,2,4,9,2,6,3,4,9,1,0,1,9
73,100,107,9,6,1,red,8,11,19,2,1,15,0,4,12,7,1,0,1,1,18,4,3,0,2,26,4,6,2,10,2,5,11,26,5,1
74,100,107,6,9,1,blue,5,4,2,25,13,8,2,5,6,4,2,2,4,12,6,7,6,6,5,17,16,3,4,9,4,6,20,0,4,0
75,100,107,7,8,1,blue,5,5,12,9,12,13,0,8,2,1,11,4,8,1,9,6,14,16,7,3,1,2,3,24,4,2,4,13,2,6
76,100,107,9,6,0,red,8,4,7,13,4,6,0,0,7,22,6,7,2,6,8,10,0,6,2,21,5,6,24,2,7,1,0,5,1,17
77,100,107,7,8,0,blue,11,5,23,3,6,19,4,11,0,3,0,2,2,5,6,2,15,6,1,3,1,11,4,3,0,8,8,3,33,9
78,100,107,8,7,1,red,4,5,3,7,18,6,21,3,2,15,10,4,0,2,0,16,3,1,1,2,25,28,3,0,9,4,6,5,3,1
79,100,107,7,8,1,blue,5,25,6,10,6,4,0,1,21,8,6,3,1,4,0,24,5,1,9,8,9,3,1,8,5,13,14,3,3,1
80,100,107,8,7,1,red,6,11,3,5,7,4,12,5,11,3,10,5,16,1,1,10,3,2,5,14,2,11,10,4,4,1,4,21,6,10
81,100,107,9,6,2,red,3,3,5,7,10,2,14,3,2,1,3,2,2,7,36,3,1,6,2,5,1,10,12,2,5,36,8,10,6,0
82,100,107,7,8,1,blue,0,2,8,7,10,5,4,21,3,0,18,11,1,7,3,6,8,1,4,11,6,2,16,13,3,7,16,6,7,1
